399, 104, 4.36591478697, 211, 15, 86, 106, 20, 20, 7, 27, 57, 0, 0.75
318, 80, 4.40880503145, 164, 16, 64, 82, 16, 26, 8, 28, 48, 0, 0.666666666667
402, 114, 4.58208955224, 188, 11, 79, 100, 25, 23, 18, 23, 49, 0, 0.666666666667
497, 84, 3.72837022133, 199, 18, 100, 103, 23, 37, 9, 24, 82, 0, 0.75
53, 19, 4.90566037736, 45, 0, 14, 14, 3, 4, 3, 4, 9, 0, 0.333333333333
319, 71, 4.29153605016, 151, 9, 49, 87, 24, 23, 17, 24, 51, 0, 0.666666666667
394, 123, 4.71573604061, 208, 8, 57, 131, 30, 19, 30, 27, 116, 0, 1.0
476, 100, 4.01260504202, 256, 15, 87, 119, 35, 16, 38, 31, 102, 0, 0.833333333333
373, 74, 4.0563002681, 156, 14, 80, 73, 21, 25, 5, 17, 35, 0, 0.666666666667
340, 45, 3.88823529412, 159, 37, 60, 79, 17, 27, 11, 14, 62, 0, 0.666666666667
526, 155, 4.47908745247, 215, 7, 90, 151, 36, 39, 17, 26, 60, 0, 0.75
406, 109, 4.40147783251, 194, 7, 85, 101, 23, 24, 11, 29, 47, 0, 0.833333333333
270, 60, 3.90740740741, 106, 8, 57, 45, 13, 16, 1, 9, 16, 0, 0.583333333333
175, 37, 4.04, 84, 5, 42, 42, 6, 11, 0, 0, 0, 0, 0.416666666667
279, 69, 4.31541218638, 147, 14, 55, 64, 16, 18, 1, 10, 15, 0, 0.666666666667
406, 109, 4.42857142857, 191, 0, 69, 107, 22, 23, 5, 21, 33, 0, 0.75
404, 114, 4.44801980198, 211, 5, 78, 109, 17, 28, 13, 30, 50, 0, 0.75
409, 76, 4.03422982885, 173, 10, 75, 87, 17, 36, 16, 25, 51, 0, 0.833333333333
583, 211, 4.68439108062, 243, 14, 109, 160, 52, 29, 10, 39, 71, 0, 0.833333333333
404, 118, 4.48267326733, 208, 5, 80, 117, 32, 21, 28, 23, 83, 0, 0.833333333333
404, 134, 4.92574257426, 213, 20, 73, 117, 33, 25, 20, 18, 91, 0, 0.916666666667
495, 93, 4.05454545455, 227, 11, 84, 120, 39, 34, 25, 42, 105, 0, 0.833333333333
398, 111, 4.37688442211, 175, 14, 75, 98, 30, 25, 12, 24, 46, 0, 0.833333333333
253, 65, 4.41897233202, 138, 13, 52, 65, 12, 15, 11, 11, 32, 0, 0.583333333333
529, 108, 4.06049149338, 263, 21, 109, 145, 26, 38, 27, 39, 105, 0, 0.75
243, 50, 4.22633744856, 126, 6, 37, 76, 12, 6, 5, 7, 19, 0, 0.583333333333
398, 122, 4.66331658291, 203, 18, 71, 111, 30, 16, 11, 24, 43, 0, 0.833333333333
182, 48, 4.1043956044, 96, 2, 30, 49, 6, 12, 4, 12, 21, 0, 0.583333333333
354, 95, 4.47740112994, 178, 22, 72, 96, 21, 19, 9, 30, 47, 0, 0.75
553, 133, 4.30198915009, 251, 14, 106, 131, 27, 43, 25, 28, 87, 0, 0.833333333333
378, 129, 4.84126984127, 188, 10, 76, 88, 36, 25, 34, 23, 84, 0, 0.833333333333
296, 57, 4.06756756757, 150, 19, 59, 77, 16, 19, 11, 18, 42, 0, 0.583333333333
441, 108, 4.21541950113, 183, 16, 88, 108, 31, 25, 8, 30, 41, 0, 0.75
357, 143, 5.17366946779, 191, 23, 65, 105, 29, 20, 22, 18, 53, 0, 0.833333333333
174, 29, 4.08620689655, 94, 21, 29, 40, 12, 9, 0, 3, 15, 0, 0.5
580, 179, 4.60344827586, 302, 15, 108, 159, 42, 36, 16, 38, 74, 0, 1.0
304, 78, 4.29934210526, 148, 17, 57, 81, 20, 21, 6, 17, 27, 0, 0.75
428, 104, 4.24065420561, 147, 28, 73, 105, 35, 16, 8, 20, 38, 0, 0.666666666667
292, 64, 4.20205479452, 141, 13, 50, 86, 15, 16, 12, 24, 51, 0, 0.666666666667
245, 50, 4.10612244898, 131, 10, 47, 56, 5, 22, 3, 7, 13, 0, 0.666666666667
168, 67, 4.86904761905, 74, 3, 30, 54, 16, 4, 5, 11, 22, 0, 0.5
481, 123, 4.23284823285, 173, 5, 88, 105, 27, 40, 18, 26, 57, 0, 0.75
415, 117, 4.55180722892, 202, 7, 67, 119, 24, 30, 35, 32, 80, 0, 1.0
428, 129, 4.46261682243, 196, 10, 83, 122, 39, 30, 9, 24, 74, 0, 0.833333333333
330, 65, 4.01212121212, 167, 5, 53, 77, 27, 20, 15, 28, 65, 0, 0.666666666667
